id,modulo,semana,tema,subtema,nivel,tipo_pregunta,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,respuesta_correcta,respuesta_texto,explicacion,fuente_base,fuente_url,tags
1919,Fullstack Developer Software,11,React,SPA,Básico,Aplicación,"Pregunta de repaso: dentro de React, ¿qué alternativa corresponde a «spa»?",JWT,Formato ligero de intercambio de datos común en APIs REST.,Aplicación web de página única que actualiza vistas sin recargar toda la página.,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,Método de Keras usado para entrenar o ajustar un modelo con datos.,C,Aplicación web de página única que actualiza vistas sin recargar toda la página.,Corresponde a Aplicación web de página única que actualiza vistas sin recargar toda la página.: SPA,PIAD-527_CONTENIDO (1).pdf,https://react.dev/,"react,spa"
1920,Fullstack Developer Software,11,React,SPA,Básico,Reconocimiento,"Pregunta de repaso: dentro de React, ¿qué alternativa corresponde a «spa»? (Tema: React)",Aplicación web de página única que actualiza vistas sin recargar toda la página.,Ataque que inserta código SQL malicioso en consultas de base de datos.,Archivo con instrucciones para construir una imagen Docker.,Lenguaje usado para lógica e interactividad en aplicaciones web y para usar TensorFlow.js.,Herramienta que permite ejecutar y probar una app Android sin usar un dispositivo físico.,A,Aplicación web de página única que actualiza vistas sin recargar toda la página.,Corresponde a Aplicación web de página única que actualiza vistas sin recargar toda la página.: SPA,PIAD-527_CONTENIDO (1).pdf,https://react.dev/,"react,spa"
1921,Fullstack Developer Software,11,React,Vite,Intermedio,Completar,¿Qué concepto se define como: «Vite»?,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Operación CRUD que inserta o registra nuevos datos.,Express,npm,Sistema de control de versiones distribuido para registrar cambios en archivos y código.,A,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,La definición corresponde a Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida..,PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1922,Fullstack Developer Software,11,React,Vite,Básico,Relación,"En el tema de React, ¿cuál es la opción correcta para: vite?",Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Sistema de gestión de base de datos relacional usado en aplicaciones backend.,Gestor de paquetes de Node.js usado para instalar dependencias y ejecutar scripts.,Aplicación web de página única que actualiza vistas sin recargar toda la página.,npm,A,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,"En React, el concepto correcto es Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida..",PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1923,Fullstack Developer Software,11,React,Vite,Básico,Relación,"Complete la frase: En React, ______ se relaciona con vite",Error cuadrático medio que mide la desviación cuadrática promedio entre predicciones y valores reales.,Express,Webpack,Docker,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,E,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,La palabra que completa la frase es Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida..,PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1924,Fullstack Developer Software,11,React,Vite,Básico,Completar,¿Cuál de las siguientes opciones pertenece directamente al tema «React» y cumple esta función: vite?,Proceso para reducir tamaño o mejorar eficiencia de un modelo en dispositivos limitados.,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Docker,"Conjunto de operaciones Create, Read, Update y Delete sobre datos.",Diferencia de potencial eléctrico que impulsa la corriente en un circuito.,B,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida. cumple esa función dentro de React.,PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1925,Fullstack Developer Software,11,React,Vite,Básico,Completar,"Si en un examen preguntan por vite, ¿qué alternativa debes marcar?",npm,Oposición al paso de la corriente eléctrica en un circuito.,Protocolo de comunicación serial asíncrona usado entre dispositivos.,Protocolo ligero de mensajería publish/subscribe usado frecuentemente en IoT.,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,E,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,La alternativa correcta es Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida..,PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1926,Fullstack Developer Software,11,React,Vite,Básico,Relación,¿Qué término técnico se asocia mejor con la siguiente idea: vite?,Sintaxis que permite escribir estructuras similares a HTML dentro de JavaScript en React.,Webpack,Express,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Archivo con instrucciones para construir una imagen Docker.,D,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,El término técnico asociado es Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida..,PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1927,Fullstack Developer Software,11,React,Vite,Básico,Definición,"En el módulo «Fullstack Developer Software», ¿qué elemento se usa para vite?",Express,Docker,Procesador general usado para ejecutar tareas de cómputo secuencial o general.,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Sequelize,D,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,"Según el contenido del módulo, corresponde a Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida..",PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1928,Fullstack Developer Software,11,React,Vite,Intermedio,Relación,¿Cuál es la respuesta correcta si se busca identificar: vite?,Función intermedia que procesa solicitudes y respuestas en Express antes de llegar al controlador final.,Formato usado frecuentemente para guardar modelos Keras en entornos Python.,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Express,API de alto nivel usada para crear y entrenar modelos de redes neuronales.,C,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,La respuesta correcta es Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida..,PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1929,Fullstack Developer Software,11,React,Vite,Básico,Completar,Marca la alternativa que mejor representa el concepto de Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida..,npm,Webpack,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Acelerador especializado de Google para cargas de trabajo de machine learning.,"Cuadro de diálogo que solicita confirmación, información o decisión del usuario.",C,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.: Vite,PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1930,Fullstack Developer Software,11,React,Vite,Básico,Reconocimiento,¿Cuál opción NO debe confundirse con otros términos cuando la pregunta describe: vite?,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Placa con sensores integrados usada en proyectos TinyML.,Ataque que inyecta scripts maliciosos en páginas vistas por otros usuarios.,Webpack,Registro de cambios guardado en el historial de Git.,A,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,No debe confundirse: la descripción apunta a Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida..,PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1931,Fullstack Developer Software,11,React,Vite,Intermedio,Completar,"En una evaluación tipo Senati, si aparece la descripción «Vite», la respuesta esperada sería:",Placa basada en ESP8266 con conectividad WiFi integrada para proyectos IoT.,Modelo que ajusta una relación lineal entre variables numéricas para predecir valores continuos.,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,npm,Bloque de un notebook que ejecuta instrucciones de programación.,C,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,"Para esa descripción, se debe marcar Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida..",PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1932,Fullstack Developer Software,11,React,Vite,Básico,Reconocimiento,¿Qué concepto es clave en React porque permite/representa lo siguiente: vite?,Componente que conserva y gestiona datos relacionados con la UI.,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Comando que envía commits locales a un repositorio remoto.,Función de Arduino para configurar un pin como entrada o salida.,npm,B,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,El concepto clave es Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida..,PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1933,Fullstack Developer Software,11,React,Vite,Básico,Aplicación,Relaciona el concepto con su función: Vite,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Bloque reutilizable de interfaz en React que puede recibir props y manejar estado.,Docker,npm,Proceso para reducir tamaño o mejorar eficiencia de un modelo en dispositivos limitados.,A,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,La relación correcta es con Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida..,PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1934,Fullstack Developer Software,11,React,Vite,Intermedio,Definición,¿Qué alternativa describe correctamente un elemento de React: vite?,Sequelize,npm,Express,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,ORM para Node.js que permite trabajar con bases de datos relacionales mediante modelos.,D,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Esa descripción corresponde a Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida..,PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1935,Fullstack Developer Software,11,React,Vite,Básico,Relación,Selecciona la opción que completa correctamente: «Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida. es...»,Modelo que ajusta una relación lineal entre variables numéricas para predecir valores continuos.,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Webpack,Operación CRUD que elimina datos existentes.,Biblioteca para visión por computadora y procesamiento de imágenes.,B,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida. se define como: Vite,PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1936,Fullstack Developer Software,11,React,Vite,Básico,Relación,¿Cuál de estos términos sería más probable como respuesta en una pregunta sobre React?,npm,Técnica que reaplica commits sobre otra base para mantener un historial más lineal.,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Webpack,Librería para manejar rutas y navegación en aplicaciones React.,C,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,"El término más probable es Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida., porque vite",PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1937,Fullstack Developer Software,11,React,Vite,Intermedio,Relación,"Si estás resolviendo un test de opción múltiple y la pista es «Vite», ¿cuál eliges?",Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Docker,npm,Método HTTP usado para solicitar o leer recursos.,Herramienta que permite ejecutar y probar una app Android sin usar un dispositivo físico.,A,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,La pista apunta a Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida..,PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1938,Fullstack Developer Software,11,React,Vite,Intermedio,Reconocimiento,"¿Qué herramienta, método o concepto corresponde a esta descripción técnica: vite?",Docker,Protocolo de transporte orientado a conexión que garantiza entrega ordenada de datos.,Proceso para reducir tamaño o mejorar eficiencia de un modelo en dispositivos limitados.,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Sequelize,D,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Corresponde a Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida..,PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1939,Fullstack Developer Software,11,React,Vite,Básico,Aplicación,En una práctica de laboratorio se menciona: vite. ¿Qué concepto se está usando?,"Lenguaje de marcado usado en Android para definir layouts, vistas y recursos de interfaz.",Tipo de ML que entrena modelos con datos etiquetados.,npm,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Estructura de control que permite seleccionar entre varios casos posibles.,D,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Corresponde a Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.: Vite,PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1940,Fullstack Developer Software,11,React,Vite,Intermedio,Reconocimiento,En una práctica de laboratorio se menciona: vite. ¿Qué concepto se está usando? (Tema: React),Plantilla inmutable usada para crear contenedores Docker.,npm,Archivo JSON que describe la arquitectura y referencias de pesos de un modelo TensorFlow.js.,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Capa completamente conectada usada comúnmente en redes neuronales.,D,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,Corresponde a Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.: Vite,PIAD-527_CONTENIDO (1).pdf,https://vite.dev/,"vite,react"
1941,Fullstack Developer Software,11,React Hooks,useEffect,Intermedio,Aplicación,¿Qué concepto se define como: «useEffect»?,useState,useMemo,Bucle usado para repetir instrucciones un número definido de veces.,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Capa completamente conectada usada comúnmente en redes neuronales.,D,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,La definición corresponde a Hook de React para sincronizar componentes con sistemas externos o efectos secundarios..,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1942,Fullstack Developer Software,11,React Hooks,useEffect,Básico,Completar,"En el tema de React Hooks, ¿cuál es la opción correcta para: useeffect?",Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,useContext,Modelo de Keras que organiza capas en una pila lineal.,Estructura condicional que ejecuta instrucciones cuando una condición es verdadera.,useMemo,A,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,"En React Hooks, el concepto correcto es Hook de React para sincronizar componentes con sistemas externos o efectos secundarios..",PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1943,Fullstack Developer Software,11,React Hooks,useEffect,Intermedio,Aplicación,"Complete la frase: En React Hooks, ______ se relaciona con useeffect",Bloque de un notebook que ejecuta instrucciones de programación.,"Técnicas para manipular, filtrar, transformar o analizar imágenes digitales.",Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Capa completamente conectada usada comúnmente en redes neuronales.,Vista que permite al usuario ejecutar una acción al presionarla.,C,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,La palabra que completa la frase es Hook de React para sincronizar componentes con sistemas externos o efectos secundarios..,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1944,Fullstack Developer Software,11,React Hooks,useEffect,Intermedio,Completar,¿Cuál de las siguientes opciones pertenece directamente al tema «React Hooks» y cumple esta función: useeffect?,useReducer,useState,useMemo,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,"Cuadro de diálogo que solicita confirmación, información o decisión del usuario.",D,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios. cumple esa función dentro de React Hooks.,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1945,Fullstack Developer Software,11,React Hooks,useEffect,Básico,Definición,"Si en un examen preguntan por useeffect, ¿qué alternativa debes marcar?",Copia de un repositorio en la cuenta de otro usuario para modificarlo de forma independiente.,Procesador gráfico usado para acelerar cálculos paralelos en entrenamiento de redes neuronales.,useContext,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,useState,D,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,La alternativa correcta es Hook de React para sincronizar componentes con sistemas externos o efectos secundarios..,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1946,Fullstack Developer Software,11,React Hooks,useEffect,Básico,Reconocimiento,¿Qué término técnico se asocia mejor con la siguiente idea: useeffect?,Método usado para generar predicciones con un modelo entrenado.,useState,Formato usado frecuentemente para guardar modelos Keras en entornos Python.,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Placa basada en ESP8266 con conectividad WiFi integrada para proyectos IoT.,D,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,El término técnico asociado es Hook de React para sincronizar componentes con sistemas externos o efectos secundarios..,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1947,Fullstack Developer Software,11,React Hooks,useEffect,Básico,Relación,"En el módulo «Fullstack Developer Software», ¿qué elemento se usa para useeffect?",Técnica que reaplica commits sobre otra base para mantener un historial más lineal.,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,useRef,Librería que permite ejecutar modelos de machine learning en JavaScript y navegador.,useMemo,B,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,"Según el contenido del módulo, corresponde a Hook de React para sincronizar componentes con sistemas externos o efectos secundarios..",PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1948,Fullstack Developer Software,11,React Hooks,useEffect,Básico,Completar,¿Cuál es la respuesta correcta si se busca identificar: useeffect?,Protocolo ligero de mensajería publish/subscribe usado frecuentemente en IoT.,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,useState,Operación CRUD que modifica datos existentes.,Función usada para escribir un valor HIGH o LOW en un pin digital.,B,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,La respuesta correcta es Hook de React para sincronizar componentes con sistemas externos o efectos secundarios..,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1949,Fullstack Developer Software,11,React Hooks,useEffect,Básico,Completar,Marca la alternativa que mejor representa el concepto de Hook de React para sincronizar componentes con sistemas externos o efectos secundarios..,useRef,Componente de Android que representa una pantalla con la que el usuario interactúa.,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,useState,Método HTTP usado para eliminar un recurso.,C,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.: useEffect,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1950,Fullstack Developer Software,11,React Hooks,useEffect,Básico,Definición,¿Cuál opción NO debe confundirse con otros términos cuando la pregunta describe: useeffect?,Librería cliente HTTP usada en Android para consumir servicios REST de forma estructurada.,useRef,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Gestor de paquetes de Node.js usado para instalar dependencias y ejecutar scripts.,Archivo JSON que describe la arquitectura y referencias de pesos de un modelo TensorFlow.js.,C,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,No debe confundirse: la descripción apunta a Hook de React para sincronizar componentes con sistemas externos o efectos secundarios..,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1951,Fullstack Developer Software,11,React Hooks,useEffect,Básico,Relación,"En una evaluación tipo Senati, si aparece la descripción «useEffect», la respuesta esperada sería:",useContext,useReducer,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,useState,Vista usada para mostrar texto en una interfaz Android.,C,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,"Para esa descripción, se debe marcar Hook de React para sincronizar componentes con sistemas externos o efectos secundarios..",PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1952,Fullstack Developer Software,11,React Hooks,useEffect,Intermedio,Aplicación,¿Qué concepto es clave en React Hooks porque permite/representa lo siguiente: useeffect?,useReducer,Copia de un repositorio en la cuenta de otro usuario para modificarlo de forma independiente.,Librería cliente HTTP usada en Android para consumir servicios REST de forma estructurada.,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Placa de pruebas que permite montar circuitos sin soldadura.,D,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,El concepto clave es Hook de React para sincronizar componentes con sistemas externos o efectos secundarios..,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1953,Fullstack Developer Software,11,React Hooks,useEffect,Básico,Definición,Relaciona el concepto con su función: useEffect,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,useReducer,Protocolo de servicios web basado en XML y reglas estrictas de mensajería.,Copia de un repositorio en la cuenta de otro usuario para modificarlo de forma independiente.,Sistema de control de versiones distribuido para registrar cambios en archivos y código.,A,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,La relación correcta es con Hook de React para sincronizar componentes con sistemas externos o efectos secundarios..,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1954,Fullstack Developer Software,11,React Hooks,useEffect,Básico,Definición,¿Qué alternativa describe correctamente un elemento de React Hooks: useeffect?,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Parte reutilizable de la interfaz o comportamiento dentro de una Activity.,useReducer,useContext,useRef,A,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Esa descripción corresponde a Hook de React para sincronizar componentes con sistemas externos o efectos secundarios..,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1955,Fullstack Developer Software,11,React Hooks,useEffect,Básico,Aplicación,Selecciona la opción que completa correctamente: «Hook de React para sincronizar componentes con sistemas externos o efectos secundarios. es...»,Oposición al paso de la corriente eléctrica en un circuito.,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Método usado para medir el rendimiento del modelo en datos de prueba o validación.,useRef,useMemo,B,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios. se define como: useEffect,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1956,Fullstack Developer Software,11,React Hooks,useEffect,Intermedio,Definición,¿Cuál de estos términos sería más probable como respuesta en una pregunta sobre React Hooks?,useReducer,Archivo que suele contener etiquetas y metadatos de un modelo exportado desde Teachable Machine.,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,"Framework de machine learning usado para construir, entrenar y desplegar modelos.",Método usado para generar predicciones con un modelo entrenado.,C,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,"El término más probable es Hook de React para sincronizar componentes con sistemas externos o efectos secundarios., porque useeffect",PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1957,Fullstack Developer Software,11,React Hooks,useEffect,Básico,Completar,"Si estás resolviendo un test de opción múltiple y la pista es «useEffect», ¿cuál eliges?",Cliente HTTP usado como base para realizar solicitudes de red en Android.,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Herramienta que permite ejecutar y probar una app Android sin usar un dispositivo físico.,Lenguaje usado para estilos visuales de una interfaz web.,useState,B,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,La pista apunta a Hook de React para sincronizar componentes con sistemas externos o efectos secundarios..,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1958,Fullstack Developer Software,11,React Hooks,useEffect,Básico,Reconocimiento,"¿Qué herramienta, método o concepto corresponde a esta descripción técnica: useeffect?",useMemo,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Comando que envía commits locales a un repositorio remoto.,Función de Arduino que se ejecuta una sola vez al iniciar el programa.,Formato usado frecuentemente para guardar modelos Keras en entornos Python.,B,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Corresponde a Hook de React para sincronizar componentes con sistemas externos o efectos secundarios..,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1959,Fullstack Developer Software,11,React Hooks,useEffect,Básico,Completar,Identifica la opción correcta según la descripción técnica: useeffect.,Protocolo ligero de mensajería publish/subscribe usado frecuentemente en IoT.,useState,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Método usado para generar predicciones con un modelo entrenado.,Token firmado usado para autenticación y autorización en aplicaciones web y APIs.,C,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Corresponde a Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.: useEffect,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1960,Fullstack Developer Software,11,React Hooks,useEffect,Básico,Completar,Identifica la opción correcta según la descripción técnica: useeffect. (Tema: React Hooks),Solicitud para revisar e integrar cambios de una rama o fork al proyecto principal.,Tipo de ML que entrena modelos con datos etiquetados.,Operación CRUD que consulta o lee datos existentes.,useReducer,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,E,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Corresponde a Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.: useEffect,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useEffect,"react,hooks"
1961,Fullstack Developer Software,11,React Hooks,useState,Intermedio,Relación,¿Qué concepto se define como: «useState»?,Hook de React usado para declarar y actualizar estado en componentes funcionales.,Plataforma para empaquetar y ejecutar aplicaciones en contenedores.,"Librería de Python para trabajar con arreglos, vectores y matrices numéricas.",useMemo,useEffect,A,Hook de React usado para declarar y actualizar estado en componentes funcionales.,La definición corresponde a Hook de React usado para declarar y actualizar estado en componentes funcionales..,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useState,"react,hooks"
1962,Fullstack Developer Software,11,React Hooks,useState,Intermedio,Completar,"En el tema de React Hooks, ¿cuál es la opción correcta para: usestate?",Herramienta web de Google para entrenar modelos de ML sin escribir mucho código.,Hook de React usado para declarar y actualizar estado en componentes funcionales.,useEffect,Protocolo de comunicación serial asíncrona usado entre dispositivos.,useContext,B,Hook de React usado para declarar y actualizar estado en componentes funcionales.,"En React Hooks, el concepto correcto es Hook de React usado para declarar y actualizar estado en componentes funcionales..",PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useState,"react,hooks"
1963,Fullstack Developer Software,11,React Hooks,useState,Intermedio,Definición,"Complete la frase: En React Hooks, ______ se relaciona con usestate",useEffect,useContext,Hook de React usado para declarar y actualizar estado en componentes funcionales.,Espacio donde se almacena el historial y archivos de un proyecto controlado por Git.,useMemo,C,Hook de React usado para declarar y actualizar estado en componentes funcionales.,La palabra que completa la frase es Hook de React usado para declarar y actualizar estado en componentes funcionales..,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useState,"react,hooks"
1964,Fullstack Developer Software,11,React Hooks,useState,Avanzado,Completar,¿Cuál de las siguientes opciones pertenece directamente al tema «React Hooks» y cumple esta función: usestate?,Hook de React usado para declarar y actualizar estado en componentes funcionales.,"Herramienta de programación visual basada en flujos para conectar dispositivos, APIs y servicios.",Procesador gráfico usado para acelerar cálculos paralelos en entrenamiento de redes neuronales.,Lenguaje usado para estilos visuales de una interfaz web.,Método de Keras usado para entrenar o ajustar un modelo con datos.,A,Hook de React usado para declarar y actualizar estado en componentes funcionales.,Hook de React usado para declarar y actualizar estado en componentes funcionales. cumple esa función dentro de React Hooks.,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useState,"react,hooks"
1965,Fullstack Developer Software,11,React Hooks,useState,Básico,Completar,"Si en un examen preguntan por usestate, ¿qué alternativa debes marcar?",useReducer,useRef,Hook de React usado para declarar y actualizar estado en componentes funcionales.,Componente de Android que representa una pantalla con la que el usuario interactúa.,"Instrumento para medir magnitudes eléctricas como voltaje, corriente y resistencia.",C,Hook de React usado para declarar y actualizar estado en componentes funcionales.,La alternativa correcta es Hook de React usado para declarar y actualizar estado en componentes funcionales..,PIAD-527_CONTENIDO (1).pdf,https://react.dev/reference/react/useState,"react,hooks"
